No,管理No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間,
1,1,一般撮影室１,471,460,20,1,災害ボックスの発見,コンテナボックスがあることを確認した。,中身を全部取り出す。,とりあえず一式を確認し、対応マニュアルを取り出した,3,マニュアルとチェックリスト取り出す。,対応手順を確認した。,1,安全な場所へ移動させて確認する。,安全を確認したのちにマニュアル、チェックリストを取り出した,20,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
2,1,一般撮影室１,471,460,20,2,暗闇での足元になにかある,非常灯が点灯していない。床にグリッドが散乱している。,スマホライト点灯,ガラス片や機材を踏まずに移動できた。,2,急いで部屋を出る,グリッドに転倒して膝を強打。すぐには動けなくなる。,5,壁伝いに歩く,落下しかけていた天井が頭上から直撃し脳震盪をおこす,10,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
3,1,一般撮影室１,471,460,20,3,床に落ちている黒い物体,トランシーバーが転がっている,電源をつける,電源が付くことを確認した,0,電源ユニットを赤コンセントにさして充電する。,コンセントの位置を確認して安全な箇所にさした,2,トランシーバーで更新を試みる,誰も応答しない,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
4,2,一般撮影室２,555,458,20,1,患者のパニック,遠くで患者が『怖い、誰か』と叫んでいる。,頭を守ってととりあえず叫ぶ,視認できないのでとりあえず声をかける,1,「落ち着いて」と叫ぶ,声が届かず、周りの騒音で聞こえていない,5,一人で逃げる,患者が見捨てられ、後に懲戒へ。,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
5,2,一般撮影室２,555,458,20,2,FPDの保全,FPDが床に落ちている。,壁際に寄せる,最小限の動作で破損リスクを下げた。,1,抱えて持ち歩く,重くて避難の妨げになり、結局落とす。,5,元の場所に戻す,余震で再度落下し、使用不能となる,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
6,2,一般撮影室２,555,458,20,3,避難ルートの選択,廊下は散乱物が多い。ルート選定が必要,通路経由で避難,比較的物が少なく安全に脱出できた。,2,廊下へ直行,天井パネルが崩落していたことを確認するもがれきに当たる,7,反対側の撮影室を選択,安全か確認しながら移動,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
7,2,一般撮影室２,555,458,20,4,高電圧ケーブル垂下,発生器から太いケーブルが外れ、ぶら下がっている。,触らず大きく迂回,感電リスクを回避し退室。,2,棒でのける,絶縁体でなかったため感電。【死亡】,60,避けて通る,余震でケーブルが暴れ頭部直撃。,60,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
8,2,一般撮影室２,555,458,20,5,ドア枠の歪み,揺れで引き戸の枠が歪み、扉が開かない。,蹴破る/破壊,緊急避難として正解。脱出成功。,5,う回路を探す,冷静に迂回する,3,使用禁止にして迂回する,後続の安全確保も踏まえて行動,5,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
9,2,一般撮影室２,555,458,20,6,余震発生,緊急地震速報が鳴り響く。,部屋中央でしゃがむ,落下物を回避し身を守った。,1,出口へ走る,揺れで転倒し強打。,5,机の下に隠れる,机自体が倒壊し挟まれるリスクあるも事なきを得た,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
10,9,透視室１,254,540,10,1,アームから配線が垂れている,配線がむき出しとなり一部垂れ下がっている,機器電源OFF・退避　ブレーカーOff,感電リスクを回避し、安全圏へ。,2,使用禁止、進入禁止にする,とりあえず使用禁止とする,2,においをかぐ,わからないまま、時間が過ぎる,3,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
11,9,透視室１,254,540,10,2,配管ガスの確認,壁の酸素アウトレット付近からシューという音。,元栓を閉鎖,酸素漏れによる爆発・火災を防いだ。,3,テープで塞ぐ,応急処置。後で対策とする。,5,記録だけ残す,とりあえず記録するが、火災が起きた場合は爆発する,0,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
12,9,透視室１,254,540,10,3,壁の亀裂,壁に横一直線の亀裂を確認した,使用禁止にする,張り紙を貼って、進入禁止とする,3,記録だけ残す,紙に書いたもののその紙を最終どこかに無くしてしまう,6,急いで本部に報告する,指示系統が麻痺しており、無駄な時間を過ごす。,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
13,8,透視室２,238,460,5,1,汚水逆流,トイレ直結の検査室。汚水が床に広がっている。,止水をあきらめ、部屋外への漏出を防ぐ,そこにあった板で入り口を押さえた,5,そのまま歩く,靴が汚染され、院内に菌を広げた。,1,高い所を飛び移る,着地に失敗し汚水の中へ転倒。,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,
14,8,透視室２,238,460,30,4,棚の破損と転倒,高価な内視鏡がブラブラし、壁に当たりそうだ。,ケースに収納,破損を防ぎ、後の診療に貢献。,3,テープで固定,簡易的だが揺れには耐えた。,2,手で持ち続ける,自分の避難が遅れる。,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,
